path,dataset,source_group
RAW/DEMAND/DLIVING/DLIVING/ch01.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch02.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch03.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch04.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch05.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch06.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch07.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch08.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch09.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch10.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch11.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch12.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch13.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch14.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch15.wav,DEMAND,DLIVING
RAW/DEMAND/DLIVING/DLIVING/ch16.wav,DEMAND,DLIVING
RAW/DEMAND/DWASHING/DWASHING/ch01.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch02.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch03.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch04.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch05.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch06.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch07.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch08.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch09.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch10.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch11.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch12.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch13.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch14.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch15.wav,DEMAND,DWASHING
RAW/DEMAND/DWASHING/DWASHING/ch16.wav,DEMAND,DWASHING
RAW/DEMAND/NFIELD/NFIELD/ch01.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch02.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch03.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch04.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch05.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch06.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch07.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch08.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch09.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch10.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch11.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch12.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch13.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch14.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch15.wav,DEMAND,NFIELD
RAW/DEMAND/NFIELD/NFIELD/ch16.wav,DEMAND,NFIELD
RAW/DEMAND/OMEETING/OMEETING/ch01.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch02.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch03.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch04.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch05.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch06.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch07.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch08.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch09.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch10.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch11.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch12.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch13.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch14.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch15.wav,DEMAND,OMEETING
RAW/DEMAND/OMEETING/OMEETING/ch16.wav,DEMAND,OMEETING
RAW/MAD/training/001/0.wav,MAD,training/001
RAW/MAD/training/002/0.wav,MAD,training/002
RAW/MAD/training/002/1.wav,MAD,training/002
RAW/MAD/training/002/2.wav,MAD,training/002
RAW/MAD/training/002/3.wav,MAD,training/002
RAW/MAD/training/004/0.wav,MAD,training/004
RAW/MAD/training/004/1.wav,MAD,training/004
RAW/MAD/training/004/2.wav,MAD,training/004
